"provinceName","provinceShortName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","comment","locationId","statisticsData","highDangerCount","midDangerCount","detectOrgCount","vaccinationOrgCount","cities__cityName","cities__currentConfirmedCount","cities__confirmedCount","cities__suspectedCount","cities__curedCount","cities__deadCount","cities__highDangerCount","cities__midDangerCount","cities__locationId","cities__currentConfirmedCountStr","dangerAreas__cityName","dangerAreas__areaName","dangerAreas__dangerLevel","cities__notShowCurrentConfirmedCount"
"香港","香港","193","11727","176","11325","209","疑似 1 例","810000","https://file1.dxycdn.com/2020/0223/331/3398299755968040033-135.json","0","0","0","0","","","","","","","","","","","","","",""
"上海市","上海","59","1958","393","1892","7","因未公布分区死亡和治愈，仅展示累计确诊和现存确诊","310000","https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json","0","0","130","17","境外输入","59","1587","4","1528","0","0","0","0","59","","","",""
"","","","","","","","","","","","","","","外地来沪","0","113","0","112","1","0","0","0","0","","","",""
"","","","","","","","","","","","","","","浦东新区","0","69","0","68","1","0","0","310115","0","","","",""
"","","","","","","","","","","","","","","宝山区","0","26","0","25","1","0","0","310113","0","","","",""
"","","","","","","","","","","","","","","黄浦区","0","22","0","22","0","0","0","310101","0","","","",""
"","","","","","","","","","","","","","","闵行区","0","19","0","19","0","0","0","310112","0","","","",""
"","","","","","","","","","","","","","","徐汇区","0","18","0","17","1","0","0","310104","0","","","",""
"","","","","","","","","","","","","","","静安区","0","16","0","15","1","0","0","310106","0","","","",""
"","","","","","","","","","","","","","","松江区","0","14","0","14","0","0","0","310117","0","","","",""
"","","","","","","","","","","","","","","长宁区","0","14","0","14","0","0","0","310105","0","","","",""
"","","","","","","","","","","","","","","普陀区","0","11","0","11","0","0","0","310107","0","","","",""
"","","","","","","","","","","","","","","杨浦区","0","9","0","9","0","0","0","310110","0","","","",""
"","","","","","","","","","","","","","","嘉定区","0","9","0","7","2","0","0","310114","0","","","",""
"","","","","","","","","","","","","","","奉贤区","0","9","0","9","0","0","0","310120","0","","","",""
"","","","","","","","","","","","","","","虹口区","0","7","0","7","0","0","0","310109","0","","","",""
"","","","","","","","","","","","","","","青浦区","0","6","0","6","0","0","0","310118","0","","","",""
"","","","","","","","","","","","","","","金山区","0","4","0","4","0","0","0","310116","0","","","",""
"","","","","","","","","","","","","","","崇明区","0","4","0","4","0","0","0","310151","0","","","",""
"","","","","","","","","","","","","","","境外来沪","0","1","0","1","0","0","0","0","0","","","",""
"云南省","云南","58","338","2","278","2","","530000","https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json","3","6","333","2","德宏州","47","97","0","50","0","3","6","0","47","德宏州","姐告国门社区","1",""
"","","","","","","","","","","","","","","境外输入","10","71","2","61","0","0","0","0","10","德宏州","团结村委会金坎、弄喊片区（瑞丽大道以南）","1",""
"","","","","","","","","","","","","","","昆明","0","53","0","53","0","0","0","530100","0","德宏州","仙客巷和光明巷居民小组","1",""
"","","","","","","","","","","","","","","昭通","0","25","0","25","0","0","0","530600","0","德宏州","勐卯镇鑫盛时代家园小区","2",""
"","","","","","","","","","","","","","","西双版纳","0","15","0","14","1","0","0","532800","0","德宏州","瑞京路红砖厂","2",""
"","","","","","","","","","","","","","","玉溪","0","14","0","13","1","0","0","530400","0","德宏州","双卯村民小组","2",""
"","","","","","","","","","","","","","","曲靖","0","13","0","13","0","0","0","530300","0","德宏州","星河蓝湾小区","2",""
"","","","","","","","","","","","","","","大理州","0","13","0","13","0","0","0","0","0","德宏州","下弄安村民小组","2",""
"","","","","","","","","","","","","","","红河州","0","9","0","9","0","0","0","0","0","德宏州","珠宝街老食品厂家属区","2",""
"","","","","","","","","","","","","","","保山","0","9","0","9","0","0","0","530500","0","","","",""
"","","","","","","","","","","","","","","丽江","0","7","0","7","0","0","0","530700","0","","","",""
"","","","","","","","","","","","","","","普洱","0","4","0","4","0","0","0","530800","0","","","",""
"","","","","","","","","","","","","","","楚雄州","0","4","0","4","0","0","0","0","0","","","",""
"","","","","","","","","","","","","","","文山州","0","2","0","2","0","0","0","0","0","","","",""
"","","","","","","","","","","","","","","临沧","0","1","0","1","0","0","0","530900","0","","","",""
"","","","","","","","","","","","","","","待明确地区","1","1","0","0","0","0","0","0","1","","","",""
"广东省","广东","45","2328","14","2275","8","广东卫健委未明确部分治愈病例的地市归属，因此各地市的现存确诊存在一定偏差。","440000","https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json","0","0","120","41","广州","39","1126","9","1086","1","0","0","440100","39","","","",""
"","","","","","","","","","","","","","","深圳","4","504","1","497","3","0","0","440300","4","","","",""
"","","","","","","","","","","","","","","佛山","2","132","1","130","0","0","0","440600","2","","","",""
"","","","","","","","","","","","","","","肇庆","2","32","0","29","1","0","0","441200","2","","","",""
"","","","","","","","","","","","","","","清远","1","14","0","13","0","0","0","441800","1","","","",""
"","","","","","","","","","","","","","","珠海","0","113","1","112","1","0","0","440400","0","","","",""
"","","","","","","","","","","","","","","东莞","0","101","0","100","1","0","0","441900","0","","","",""
"","","","","","","","","","","","","","","中山","0","69","0","69","0","0","0","442000","0","","","",""
"","","","","","","","","","","","","","","惠州","0","63","0","63","0","0","0","441300","0","","","",""
"","","","","","","","","","","","","","","湛江","0","30","2","30","0","0","0","440800","0","","","",""
"","","","","","","","","","","","","","","江门","0","29","0","29","0","0","0","440700","0","","","",""
"","","","","","","","","","","","","","","汕头","0","26","0","26","0","0","0","440500","0","","","",""
"","","","","","","","","","","","","","","梅州","0","17","0","17","0","0","0","441400","0","","","",""
"","","","","","","","","","","","","","","茂名","0","17","0","17","0","0","0","440900","0","","","",""
"","","","","","","","","","","","","","","阳江","0","16","0","16","0","0","0","441700","0","","","",""
"","","","","","","","","","","","","","","揭阳","0","11","0","11","0","0","0","445200","0","","","",""
"","","","","","","","","","","","","","","韶关","0","10","0","9","1","0","0","440200","0","","","",""
"","","","","","","","","","","","","","","潮州","0","7","0","7","0","0","0","445100","0","","","",""
"","","","","","","","","","","","","","","汕尾","0","6","0","6","0","0","0","441500","0","","","",""
"","","","","","","","","","","","","","","河源","0","5","0","5","0","0","0","441600","0","","","",""
"","","","","","","","","","","","","","","待明确地区","-3","0","0","3","0","0","0","0","-3","","","",""
"台湾","台湾","35","1090","431","1044","11","","710000","https://file1.dxycdn.com/2020/0223/045/3398299749526003760-135.json","0","0","0","0","","","","","","","","","","","","","",""
"福建省","福建","24","586","3","561","1","","350000","https://file1.dxycdn.com/2020/0223/744/3398299751673071813-135.json","0","0","59","156","境外输入人员","24","290","1","266","0","0","0","0","24","","","",""
"","","","","","","","","","","","","","","福州","0","72","0","71","1","0","0","350100","0","","","",""
"","","","","","","","","","","","","","","莆田","0","56","0","56","0","0","0","350300","0","","","",""
"","","","","","","","","","","","","","","泉州","0","47","0","47","0","0","0","350500","0","","","",""
"","","","","","","","","","","","","","","厦门","0","35","0","35","0","0","0","350200","0","","","",""
"","","","","","","","","","","","","","","宁德","0","26","0","26","0","0","0","350900","0","","","",""
"","","","","","","","","","","","","","","漳州","0","20","0","20","0","0","0","350600","0","","","",""
"","","","","","","","","","","","","","","南平","0","20","0","20","0","0","0","350700","0","","","",""
"","","","","","","","","","","","","","","三明","0","14","0","14","0","0","0","350400","0","","","",""
"","","","","","","","","","","","","","","龙岩","0","6","0","6","0","0","0","350800","0","","","",""
"四川省","四川","17","968","14","948","3","","510000","https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json","0","0","413","131","成都","17","571","13","551","3","0","0","510100","17","","","",""
